"id","svgdir_id","uuid","term_id","color","x_min","x_max","x_med","taid"
"1993","984","be6900ee-7759-11e4-adb6-57ce06b062da","820","#84D8B4","2940","3175","3058","A02.2.04.001"
"1994","984","be6900ee-7759-11e4-adb6-57ce06b062da","820","#987410","3095","3345","3220","A02.2.04.001"
"1995","984","be6900ee-7759-11e4-adb6-57ce06b062da","820","#6BBA38","3255","3525","3390","A02.2.04.001"
"1996","984","be6900ee-7759-11e4-adb6-57ce06b062da","820","#5146E5","3435","3675","3555","A02.2.04.001"
"1997","984","be6900ee-7759-11e4-adb6-57ce06b062da","820","#5333D2","3625","3825","3725","A02.2.04.001"
"1998","989","be690300-7759-11e4-adb6-57ce06b062da","824","#AC2E6D","3765","4310","4038","A02.2.05.001"
"1999","990","be690e22-7759-11e4-adb6-57ce06b062da","845","#634CAE","4295","4460","4378","A02.2.06.001"
"2000","991","be68cade-7759-11e4-adb6-57ce06b062da","791","#EBF41E","1000","1125","1063","A02.2.02.001"
"2001","991","be68cade-7759-11e4-adb6-57ce06b062da","791","#71DE8E","1090","1205","1148","A02.2.02.001"
"2002","991","be68cade-7759-11e4-adb6-57ce06b062da","791","#757C6D","1170","1305","1238","A02.2.02.001"
"2003","991","be68cade-7759-11e4-adb6-57ce06b062da","791","#F5D276","1250","1405","1328","A02.2.02.001"
"2004","991","be68cade-7759-11e4-adb6-57ce06b062da","791","#6CA70A","1345","1500","1423","A02.2.02.001"
"2005","973","be68fe5a-7759-11e4-adb6-57ce06b062da","815","#3DCBCE","1405","1600","1503","A02.2.03.001"
"2006","973","be68fe5a-7759-11e4-adb6-57ce06b062da","815","#EF05EB","1490","1705","1598","A02.2.03.001"
"2007","816","be674498-7759-11e4-adb6-57ce06b062da","304","#F1BA2E","0060","1010","535","A02.1.00.001"
"2008","999","be686ed6-7759-11e4-adb6-57ce06b062da","645","#EB9128","0600","0710","655","A02.1.10.001"
"2009","1000","be687520-7759-11e4-adb6-57ce06b062da","653","#C4A73F","0610","0710","660","A02.1.12.001"
"2010","1001","be689406-7759-11e4-adb6-57ce06b062da","712","#1490C4","0590","2900","1745","A02.1.14.001"
"2011","1001","be689406-7759-11e4-adb6-57ce06b062da","712","#18DE18","0560","0870","715","A02.1.14.001"
"2012","1003","be6899b0-7759-11e4-adb6-57ce06b062da","723","#3EA42A","0735","1250","993","A02.1.15.001"
"2013","1004","be677eb8-7759-11e4-adb6-57ce06b062da","402","#EE9A8B","0035","0620","328","A02.1.02.001"
"2014","1005","be679010-7759-11e4-adb6-57ce06b062da","421","#ED183C","0070","0620","345","A02.1.03.001"
"2015","1006","be67a654-7759-11e4-adb6-57ce06b062da","452","#D5A98E","0305","0810","558","A02.1.04.001"
"2016","1007","be682584-7759-11e4-adb6-57ce06b062da","543","#650713","0390","0865","628","A02.1.06.001"
"2017","1008","be685964-7759-11e4-adb6-57ce06b062da","619","#7826B5","0595","0875","735","A02.1.07.001"
"2018","1009","be685bda-7759-11e4-adb6-57ce06b062da","622","#29AC4F","0545","0620","583","A02.1.07.004"
"2019","1010","be686b98-7759-11e4-adb6-57ce06b062da","641","#67E96F","0625","0710","668","A02.1.09.001"
"2020","1010","be686b98-7759-11e4-adb6-57ce06b062da","641","#8A8A3C","0625","0710","668","A02.1.09.001"
"2021","1013","be805fbe-7759-11e4-adb6-57ce06b062da","8222","#fff",NULL,NULL,NULL,"A00.0.00.000"
