"35","4257","0","2","4","3","H1.00.01.0.00028 cellula precursoria -- Stem cell",NULL,"H1.00.01.0.00028","Stem cell","cellula precursoria"," celulă precursoare "
"36","4257","0","2","4","3","H1.00.01.0.00029 cellula progenetrix -- Progenitor cell",NULL,"H1.00.01.0.00029","Progenitor cell","cellula progenetrix"," celulă progenitoare "
"37","4257","0","2","4","3","H1.00.01.0.00030 cellula precursoria embryonica  ;  stipitoblastus -- Embryonic stem cell [ESC]",NULL,"H1.00.01.0.00030","Embryonic stem cell [ESC]","cellula precursoria embryonica  ;  stipitoblastus","celulă stem embrionară ; stipitoblast"
"38","37","0","2","4","3","H1.00.01.0.00031 cellula precursoria embryonica spontanea  ;  stipitoblastus verus -- ESC generated spontaneously in vivo [ESC GS]",NULL,"H1.00.01.0.00031","ESC generated spontaneously in vivo [ESC GS]","cellula precursoria embryonica spontanea  ;  stipitoblastus verus"," celulă stem embrionară spontană  ;  stipitoblast adevărat "
"39","37","0","2","4","3","H1.00.01.0.00032 cellula precursoria embryonica artificialis  ;  stipitoblastus artificialis -- ESC induced artificially in vitro [ESC IA]",NULL,"H1.00.01.0.00032","ESC induced artificially in vitro [ESC IA]","cellula precursoria embryonica artificialis  ;  stipitoblastus artificialis"," celulă stem embrionară artificială  ;  stipitoblast artificial "
"40","4257","0","2","4","3","H1.00.01.0.00033 cellula precursoria fetalis -- Fetal stem cell",NULL,"H1.00.01.0.00033","Fetal stem cell","cellula precursoria fetalis"," celulă stem fetală "
"41","4257","0","2","4","3","H1.00.01.0.00034 cellula precursoria neonatalis -- Neonatal stem cell",NULL,"H1.00.01.0.00034","Neonatal stem cell","cellula precursoria neonatalis"," celulă stem neonatală "
"42","4257","0","2","4","3","H1.00.01.0.00035 cellula precursoria adulta -- Adult stem cell",NULL,"H1.00.01.0.00035","Adult stem cell","cellula precursoria adulta"," celulă stem adultă "
"43","4257","0","2","4","3","H1.00.01.0.00035.0 Morphologia externa -- External morphology",NULL,"H1.00.01.0.00035.0","External morphology","Morphologia externa","morfologie externă"
"44","43","0","2","4","3","H1.00.01.0.00036 cellula columnaris -- Columnar cell",NULL,"H1.00.01.0.00036","Columnar cell","cellula columnaris"," celulă columnară"
"45","43","0","2","4","3","H1.00.01.0.00037 cellula cuboidea -- Cuboidal cell",NULL,"H1.00.01.0.00037","Cuboidal cell","cellula cuboidea"," celulă cuboidă"
"46","43","0","2","4","3","H1.00.01.0.00038 cellula dendritiformis -- Dendritic cell; Branched cell",NULL,"H1.00.01.0.00038","Dendritic cell; Branched cell","cellula dendritiformis"," celulă dendritică "
"47","43","0","2","4","3","H1.00.01.0.00039 cellula fusiformis -- Fusiform cell",NULL,"H1.00.01.0.00039","Fusiform cell","cellula fusiformis"," celulă fusiformă"
"48","43","0","2","4","3","H1.00.01.0.00040 cellula gigantea -- Giant cell",NULL,"H1.00.01.0.00040","Giant cell","cellula gigantea"," celulă gigantică "
"49","43","0","2","4","3","H1.00.01.0.00041 cellula ovoidea -- Ovoid cell; Oval cell",NULL,"H1.00.01.0.00041","Ovoid cell; Oval cell","cellula ovoidea"," celulă ovoidă "
"50","43","0","2","4","3","H1.00.01.0.00042 cellula polyhedralis -- Polyhedral cell",NULL,"H1.00.01.0.00042","Polyhedral cell","cellula polyhedralis"," celulă poliedrică "
